codigo_centro,nome_centro,coord,instit,website,nr_inv,nr_phd,nr_phd_int,nr_grupos,aval_2007
HESC-Norte-VilaReal-4045,"Centro de Investigação em Desporto, Saúde e  Desenvolvimento Humano",Antonio José Rocha MArtins Silva,Universidade de Trás-os-Montes e Alto Douro,http://www.utad.pt,137,76,43,3,Good
HESC-LVT-Lisboa-9,Centro de Investigação em Genética Molecular Humana,José Rueff,Universidade Nova de Lisboa,http://cigmh.unl.pt/,62,28,26,3,Good
HESC-Norte-Porto-753,Centro de Investigação em Tecnologias e Sistemas de Informação em Saúde - CINTESIS,Altamiro Manuel Rodrigues Costa Pereira,Faculdade de Medicina - Universidade do Porto,http://cintesis.med.up.pt,26,7,6,3,Very Good
HESC-Norte-Porto-4068,"CENTRO DE INVESTIGAÇÃO, FORMAÇÃO, INTERVENÇÃO E INOVAÇÃO EM DESPORTO (CIFI2D)",António Manuel Leal Ferreira Mendonça da Fonseca,Faculdade de Ciências do Desporto e de Educação Física - Universidade do Porto,http://www.fade.up.pt/cifi2d,70,41,39,6,Fair
HESC-LVT-Lisboa-7,Centro de Metabolismo e Endocrinologia,Manuel Diamantino Pires Bicho,Faculdade de Medicina - Universidade de Lisboa,"http://www.ul.pt/portal/page?_pageid=173,172918&_dad=portal&_schema=PORTAL",54,25,11,8,Fair
HESC-Norte-Porto-121,Centro de Morfologia Experimental,Maria Dulce Cordeiro Madeira,Faculdade de Medicina - Universidade do Porto,http://anatomia.med.up.pt/,24,11,9,11,Very Good
HESC-LVT-Lisboa-775,Centro de Patogénese Molecular - Unidade de Retrovírus e Infecções Associadas,JOSE ANTONIO FRAZAO MONIZ PEREIRA,Associação para o Desenvolvimento do Ensino e Investigação da Microbiologia,"http://www.ul.pt/portal/page?_pageid=173,172972&_dad=portal&_schema=PORTAL",24,12,7,3,Excellent
HESC-Centro-Coimbra-123,Centro de Pneumologia,Carlos Manuel da Silva Robalo Cordeiro,Faculdade de Medicina - Universidade de Coimbra,http://www.uc.pt/pneumo/,76,18,20,43,Fair
HESC-Norte-Porto-4040,Centro de Química Medicinal (CEQUIMED),Madalena Maria Magalhães Pinto,Faculdade de Farmácia - Universidade do Porto,n/a,37,23,13,2,Good
HESC-LVT-Oeiras-447,Centro Interdisciplinar de Estudo da Performance Humana,Maria Leonor Frazão Moniz Pereira da Silva,Faculdade de Motricidade Humana - Universidade Técnica de Lisboa,http://www.fmh.utl.pt/ciper,90,61,49,10,Very Good
HESC-Norte-Porto-721,Gabinete de Investigação de Bioética,Walter Friedrich Alfred Osswald,Centro Regional do Porto da Universidade Católica Portuguesa,http://www.porto.ucp.pt/site/custom/template/ucptplminisitehome.asp?SSPAGEID=3095&lang=0,41,21,16,2,Very Good
HESC-LVT-Oeiras-599,Genética e Desenvolvimento da Tolerância Natural,António Coutinho,Instituto Gulbenkian de Ciência,http://www.igc.gulbenkian.pt/node/view/4,37,37,29,17,Excellent
HESC-LVT-Lisboa-645,Institute of Biophysics and Biomedical Engineering (IBEB),Pedro Michael Cavaleiro de Miranda,Faculdade de Ciências - Universidade de Lisboa,"http://ibeb.fc.ul.pt/51,welcome",34,8,5,6,Very Good
HESC-Centro-Coimbra-3282,Instituto Biomédico de Investigação de Luz e Imagem - IBILI,Miguel de Sá e Sousa de Castelo Branco,Faculdade de Medicina - Universidade de Coimbra,http://www.ibili.uc.pt/website/index7.html,112,52,40,8,Excellent
HESC-Norte-Braga-652,Instituto de Investigação em Ciências da Vida  e Saúde,Maria Cecilia Lemos Pinto Estrela Leao,Universidade do Minho,http://www.ecsaude.uminho.pt/icvs/,92,31,29,6,Excellent
HESC-LVT-Lisboa-4104,Instituto de Medicina Preventiva,José Manuel Domingos Pereira Miguel,Faculdade de Medicina - Universidade de Lisboa,,33,8,6,1,Good
HESC-LVT-Lisboa-4013,Research Institute for Medicines and Pharmaceutical Sciences,José Augusto Guimarães Morais,Faculdade de Farmácia - Universidade de Lisboa,http://www.ff.ul.pt,195,113,83,7,Very Good
HESC-Norte-Porto-51,Unidade de Investigação e Desenvolvimento Cardiovascular,Adelino Leite Moreira,Faculdade de Medicina - Universidade do Porto,http://uncardio.med.up.pt/index.html,103,47,47,5,Very Good
HESC-Norte-Porto-725,Unidade de Investigação e Desenvolvimento de Nefrologia,Manuel Pestana,Faculdade de Medicina - Universidade do Porto,http://sigarra.up.pt/fmup/web_base.gera_pagina?p_pagina=1827#UIDN,28,11,8,7,Very Good
HESC-LVT-Lisboa-638,Unidade de Investigação e Desenvolvimento em Enfermagem (UI&DE),Maria Antónia Miranda Rebelo Botelho Alfaro Velez,Escola Superior de Enfermagem de Calouste Gulbenkian de Lisboa,http://www.esenfcgl.pt/ESECGL/PT/UIDE/Apresentacao/uide.htm,18,8,8,2,Fair
HESC-Norte-Porto-688,Unidade de Investigação e Formação sobre Adultos e Idosos - UnifAI,Maria Constança Paúl,Instituto de Ciências Biomédicas Abel Salazar - Universidade do Porto,http://www.unifai.net,26,16,15,1,Very Good
HESC-Centro-Coimbra-742,Unidade de Investigação em Ciências da Saúde: Domínio de Enfermagem,Manuel Rodrigues,,http://www2.esenfc.pt/uicisa,64,27,25,2,Good
HESC-LVT-Lisboa-4062,Unidade de Investigação em Ciências Orais e Biomédicas,António Emílio Peixoto de Vasconcelos Tavares,Faculdade de Medicina Dentária - Universidade de Lisboa,http://www.fmd.ul.pt,44,25,19,5,Good
HESC-LVT-Lisboa-74,Unidade de Parasitologia e Microbiologia Médicas,Maria Amelia Afonso Gracio,Instituto de Higiene e Medicina Tropical - Universidade Nova de Lisboa,http://www.ihmt.unl.pt/centrosinvestigacao/centroinv_upmm.asp,50,29,13,5,Very Good
HESC-Norte-Porto-215,Unidade Multidisciplinar de Investigação Biomédica - UMIB,Paulo Correia de Sá,Instituto de Ciências Biomédicas Abel Salazar - Universidade do Porto,http://sigarra.up.pt/icbas/unidades_geral.visualizar?p_unidade=37,155,39,30,11,Good
CIVE-Centro-Covilha-4082,Centre of Materials and Building Technologies (C-MADE),João Paulo CastroGomes,Universidade da Beira Interior,http://www.c-made.ubi.pt,19,7,5,1,Good
CIVE-Centro-Covilha-691,Centro de Engenharia Civil da Universidade da Beira Interior,João António Saraiva Pires da Fonseca,Universidade da Beira Interior,,14,12,9,4,Poor
CIVE-Norte-Porto-733,Centro de Estudos da Construção,António Manuel Adão da Fonseca,Faculdade de Engenharia - Universidade do Porto,http://www.fe.up.pt/vibest,106,39,29,4,Good
CIVE-LVT-Lisboa-92,Centro de Estudos de Hidrosistemas - CEHIDRO,António Pinheiro,Instituto Superior Técnico - Universidade de Lisboa,http://www.civil.ist.utl.pt/cehidro/,51,26,17,4,Very Good
CIVE-Norte-Porto-620,"Centro de Hidráulica, Recursos Hídricos e Ambiente da FEUP - CEHRA",Fernando Francisco Machado Veloso Gomes,Faculdade de Engenharia - Universidade do Porto,http://paginas.fe.up.pt/~fpinto/CEHRA/,30,14,9,2,Good
CIVE-Norte-Porto-699,"Centro de Investigação do Território, Transportes e Ambiente - CITTA",Paulo Pinho,Faculdade de Engenharia - Universidade do Porto,http://citta.fe.up.pt/ ,16,6,5,3,Fair
CIVE-Centro-Coimbra-4003,Centro de Investigação em Ciências da Construção (CICC),Antonio José Barreto Tadeu,Faculdade de Ciências e Tecnologia - Universidade de Coimbra,http://www.dec.uc.pt/construc/cicc/,21,12,11,3,Good
